Namespace(algo='dqn', batch_size=32, checkpoint_freq=500000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0001, niter=2000000, nproc=2, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 2 x (4, 84, 84) uint8
iter  31000 |loss   0.00 |n_ep  1903 |ep_len   28.0 |ep_rew  -0.32 |raw_ep_rew   1.40 |env_step  62000 |time 11:06 rem 705:29
iter  31500 |loss   0.00 |n_ep  1931 |ep_len   33.0 |ep_rew  -0.16 |raw_ep_rew   1.23 |env_step  63000 |time 11:17 rem 705:57
iter  32000 |loss   0.00 |n_ep  1958 |ep_len   35.7 |ep_rew  -0.07 |raw_ep_rew   1.58 |env_step  64000 |time 11:29 rem 706:29
iter  32500 |loss   0.00 |n_ep  1994 |ep_len   27.2 |ep_rew  -0.28 |raw_ep_rew   0.88 |env_step  65000 |time 11:40 rem 706:57
iter  33000 |loss   0.01 |n_ep  2025 |ep_len   32.2 |ep_rew  -0.21 |raw_ep_rew   1.05 |env_step  66000 |time 11:52 rem 707:26
iter  33500 |loss   0.00 |n_ep  2056 |ep_len   36.6 |ep_rew  -0.09 |raw_ep_rew   0.88 |env_step  67000 |time 12:03 rem 707:50
iter  34000 |loss   0.00 |n_ep  2094 |ep_len   26.5 |ep_rew  -0.30 |raw_ep_rew   0.90 |env_step  68000 |time 12:14 rem 708:15
iter  34500 |loss   0.00 |n_ep  2128 |ep_len   26.1 |ep_rew  -0.33 |raw_ep_rew   0.79 |env_step  69000 |time 12:26 rem 708:43
iter  35000 |loss   0.00 |n_ep  2158 |ep_len   35.4 |ep_rew  -0.07 |raw_ep_rew   0.85 |env_step  70000 |time 12:37 rem 709:02
iter  35500 |loss   0.00 |n_ep  2189 |ep_len   33.2 |ep_rew  -0.14 |raw_ep_rew   1.09 |env_step  71000 |time 12:49 rem 709:23
