Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter  38500 |loss   0.06 |n_ep  7702 |ep_len   56.6 |ep_rew   0.68 |raw_ep_rew   7.14 |env_step 308000 |time 38:46 rem 968:31
iter  39000 |loss   0.08 |n_ep  7782 |ep_len   48.3 |ep_rew   0.46 |raw_ep_rew   5.84 |env_step 312000 |time 39:16 rem 967:57
iter  39500 |loss  -0.02 |n_ep  7864 |ep_len   47.3 |ep_rew   0.40 |raw_ep_rew   5.70 |env_step 316000 |time 39:47 rem 967:24
iter  40000 |loss   0.05 |n_ep  7947 |ep_len   50.9 |ep_rew   0.62 |raw_ep_rew   7.00 |env_step 320000 |time 40:17 rem 966:52
iter  40500 |loss  -0.04 |n_ep  8029 |ep_len   41.9 |ep_rew   0.24 |raw_ep_rew   8.38 |env_step 324000 |time 40:47 rem 966:18
iter  41000 |loss   0.01 |n_ep  8103 |ep_len   54.5 |ep_rew   0.55 |raw_ep_rew   6.63 |env_step 328000 |time 41:17 rem 965:44
iter  41500 |loss   0.02 |n_ep  8182 |ep_len   45.5 |ep_rew   0.28 |raw_ep_rew   7.23 |env_step 332000 |time 41:47 rem 965:11
iter  42000 |loss  -0.01 |n_ep  8265 |ep_len   46.7 |ep_rew   0.32 |raw_ep_rew   7.28 |env_step 336000 |time 42:17 rem 964:39
iter  42500 |loss  -0.02 |n_ep  8344 |ep_len   45.6 |ep_rew   0.30 |raw_ep_rew   8.06 |env_step 340000 |time 42:47 rem 964:06
iter  43000 |loss   0.01 |n_ep  8423 |ep_len   48.6 |ep_rew   0.38 |raw_ep_rew   7.20 |env_step 344000 |time 43:17 rem 963:32
iter  43500 |loss   0.02 |n_ep  8506 |ep_len   44.9 |ep_rew   0.26 |raw_ep_rew   6.82 |env_step 348000 |time 43:47 rem 963:00
iter  44000 |loss   0.13 |n_ep  8581 |ep_len   48.8 |ep_rew   0.34 |raw_ep_rew   6.36 |env_step 352000 |time 44:17 rem 962:28
iter  44500 |loss   0.03 |n_ep  8658 |ep_len   53.0 |ep_rew   0.53 |raw_ep_rew   6.36 |env_step 356000 |time 44:47 rem 961:55
iter  45000 |loss  -0.05 |n_ep  8735 |ep_len   52.2 |ep_rew   0.50 |raw_ep_rew   7.11 |env_step 360000 |time 45:18 rem 961:22
iter  45500 |loss  -0.10 |n_ep  8812 |ep_len   46.4 |ep_rew   0.37 |raw_ep_rew   7.18 |env_step 364000 |time 45:48 rem 960:48
iter  46000 |loss  -0.00 |n_ep  8883 |ep_len   52.2 |ep_rew   0.52 |raw_ep_rew   7.28 |env_step 368000 |time 46:18 rem 960:19
iter  46500 |loss  -0.03 |n_ep  8961 |ep_len   55.2 |ep_rew   0.53 |raw_ep_rew   7.40 |env_step 372000 |time 46:48 rem 959:45
iter  47000 |loss  -0.04 |n_ep  9034 |ep_len   52.8 |ep_rew   0.44 |raw_ep_rew   7.41 |env_step 376000 |time 47:18 rem 959:12
iter  47500 |loss   0.06 |n_ep  9109 |ep_len   47.8 |ep_rew   0.37 |raw_ep_rew   6.29 |env_step 380000 |time 47:48 rem 958:41
iter  48000 |loss  -0.13 |n_ep  9185 |ep_len   58.1 |ep_rew   0.75 |raw_ep_rew   7.18 |env_step 384000 |time 48:18 rem 958:09
iter  48500 |loss  -0.05 |n_ep  9265 |ep_len   48.8 |ep_rew   0.46 |raw_ep_rew   6.91 |env_step 388000 |time 48:48 rem 957:36
iter  49000 |loss   0.09 |n_ep  9339 |ep_len   54.8 |ep_rew   0.51 |raw_ep_rew   7.55 |env_step 392000 |time 49:18 rem 957:03
iter  49500 |loss  -0.02 |n_ep  9415 |ep_len   48.4 |ep_rew   0.41 |raw_ep_rew   7.91 |env_step 396000 |time 49:48 rem 956:30
iter  50000 |loss   0.00 |n_ep  9492 |ep_len   53.6 |ep_rew   0.55 |raw_ep_rew   7.62 |env_step 400000 |time 50:19 rem 956:15
iter  50500 |loss  -0.00 |n_ep  9562 |ep_len   52.6 |ep_rew   0.59 |raw_ep_rew   7.81 |env_step 404000 |time 50:49 rem 955:42
iter  51000 |loss   0.08 |n_ep  9635 |ep_len   48.5 |ep_rew   0.49 |raw_ep_rew   6.96 |env_step 408000 |time 51:19 rem 955:09
iter  51500 |loss   0.12 |n_ep  9704 |ep_len   53.9 |ep_rew   0.57 |raw_ep_rew   8.23 |env_step 412000 |time 51:49 rem 954:35
iter  52000 |loss  -0.09 |n_ep  9771 |ep_len   57.8 |ep_rew   0.69 |raw_ep_rew   7.07 |env_step 416000 |time 52:19 rem 954:04
iter  52500 |loss   0.03 |n_ep  9837 |ep_len   58.0 |ep_rew   0.60 |raw_ep_rew   6.90 |env_step 420000 |time 52:49 rem 953:29
iter  53000 |loss   0.03 |n_ep  9914 |ep_len   47.0 |ep_rew   0.30 |raw_ep_rew   7.14 |env_step 424000 |time 53:20 rem 952:57
iter  53500 |loss   0.09 |n_ep  9985 |ep_len   53.0 |ep_rew   0.65 |raw_ep_rew   9.32 |env_step 428000 |time 53:50 rem 952:24
iter  54000 |loss   0.03 |n_ep 10057 |ep_len   60.7 |ep_rew   0.72 |raw_ep_rew   8.34 |env_step 432000 |time 54:20 rem 951:52
iter  54500 |loss   0.05 |n_ep 10128 |ep_len   54.5 |ep_rew   0.55 |raw_ep_rew   7.84 |env_step 436000 |time 54:50 rem 951:19
iter  55000 |loss   0.02 |n_ep 10197 |ep_len   51.8 |ep_rew   0.66 |raw_ep_rew   9.28 |env_step 440000 |time 55:20 rem 950:50
iter  55500 |loss   0.08 |n_ep 10265 |ep_len   59.3 |ep_rew   0.83 |raw_ep_rew   9.23 |env_step 444000 |time 55:50 rem 950:17
iter  56000 |loss   0.01 |n_ep 10336 |ep_len   54.5 |ep_rew   0.55 |raw_ep_rew   8.08 |env_step 448000 |time 56:20 rem 949:45
